"ano";"cod_mun";"amc";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2009;"2100501";"3009";21;"MA";"0";"ALTO PARNAIBA (MA)";0;0;0;70088;0;0;0;18690;0;0;0;30112.9268986222;0;0;0;0;32;128;8762219.5921346;49398.3188960878;3998.22665263421;16892.4816601294;10443.5438331604;80732.5716557849;1703.22291607173;82435.7939580837;7747.72305783023;"10640"
2009;"2100550";"3001";21;"MA";"0";"AMAPA DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;113;2026878.57794244;2418.42242244216;524.673958510798;3475.26573433731;6356.01506228872;12774.3765638061;511.09852911241;13285.4744791456;2059.44137330518;"6451"
2009;"2100600";"3010";21;"MA";"0";"AMARANTE DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;651;5280916.65234667;20152.6015735509;2517.91808130037;14844.9487089776;31198.0798725831;68713.548236412;1496.22677195991;70209.774394599;1877.86893099913;"37388"
2009;"2100709";"3011";21;"MA";"0";"ANAJATUBA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;738;766488.065404458;12213.1524280336;2406.80983883526;9002.78801620272;20827.31539071;44450.0656737816;876.537083118748;45326.6027569003;1808.50645354584;"25063"
2009;"2100808";"3012";21;"MA";"0";"ANAPURUS (MA)";0;0;0;18940;0;0;0;7737;0;0;0;9299.88725220992;0;0;0;0;43;298;6208685.56960636;17221.168719357;4952.50973749202;9675.15722081538;12265.7460155966;44114.581693261;1048.5530810929;45163.1347743539;3406.74044314405;"13257"
2009;"2100832";"3013";21;"MA";"0";"APICUM ACU (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;13736.2379028813;3864.49105777734;855.926588535247;4381.2620761971;13101.7691759498;22203.4482846865;507.237897458741;22710.6861821453;1635.03581375624;"13890"
2009;"2100873";"3014";21;"MA";"0";"ARAGUANA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;298;1473759.35037737;5430.25830133673;636.958189886626;2815.1621677162;8261.94630486773;17144.3243500344;233.505610209378;17377.8305740167;1683.08195777043;"10325"
2009;"2100907";"3003";21;"MA";"1";"ARAIOSES (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;397;548137.140724444;25650.9242226195;3962.57442515143;22696.5295097936;34843.4490884824;87153.476632274;2745.30498929108;89898.782235338;2295.32658111731;"39166"
2009;"2100956";"3015";21;"MA";"0";"ARAME (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;518;1794984.99320013;15830.2905448005;2531.29096563584;12810.266935181;21488.294197512;52660.1426431294;1447.43489385045;54107.5769232069;1949.82153016601;"27750"
2009;"2101004";"3016";21;"MA";"0";"ARARI (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;240;1620176.27320991;13653.5982896678;3084.53421215671;16276.3954320893;25177.8808419635;58192.4087758774;1889.39926903504;60081.8080449124;2087.11639417386;"28787"
2009;"2101103";"3017";21;"MA";"0";"AXIXA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;302;370639.831431416;3535.42898329693;858.283476540031;4767.30805592235;12061.6910713074;21222.7115870667;539.412487588631;21762.1240746553;1431.43506142631;"15203"
2009;"2101202";"3007";21;"MA";"0";"BACABAL (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;759;1356;2669841.88523155;23067.6190710552;43294.5221527298;193998.449340696;82499.2329131062;342859.82409136;27877.2394043926;370737.06288198;3764.25089236971;"98489"
2009;"2101251";"3018";21;"MA";"0";"BACABEIRA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;132;144433.043043165;5190.54806070018;24276.4712251193;13391.9229576179;15078.8023284314;57937.7451856417;5555.32865013851;63493.0732220073;4076.86385265008;"15574"
2009;"2101301";"3013";21;"MA";"0";"BACURI (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;25;107018.906746765;2624.69676960252;1236.75488468532;6108.20608800031;15048.56050922;25018.2182515082;626.999110520578;25645.2173620288;1546.29038755527;"16585"
2009;"2101350";"3019";21;"MA";"0";"BACURITUBA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;145;151338.430286182;1462.98667204452;466.661369855547;1793.5893165489;5196.51209214353;8919.75006436542;215.201060478474;9134.95051107097;1606.28669028122;"5687"
2009;"2101400";"3020";21;"MA";"0";"BALSAS (MA)";0;0;0;319248;0;0;0;106416;0;0;0;137162.289057574;0;0;0;293.383454762166;1021;783;68090441.8762819;231603.483745117;67119.0993843985;411725.69419413;81610.3737248874;792058.651662306;74688.8847631426;866747.537039221;10365.6855109774;"83617"
2009;"2101509";"3021";21;"MA";"0";"BARAO DE GRAJAU (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;1066;832211.084275048;3013.89017685082;2749.1778964031;23239.1900836639;13775.9146393869;42778.1734100776;4143.3182740183;46921.4916840959;2723.08334079805;"17231"
2009;"2101608";"3015";21;"MA";"0";"BARRA DO CORDA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;1308;3301831.42376671;25317.2864710361;10333.3224925617;77917.3481107769;68128.797570923;181696.754645298;10002.9573781766;191699.712023474;2357.09054984684;"81329"
