Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
PR-CIANORTE;0;0;0;0;0;939,990000000224;0;939,990000000224
PR-CLEVELANDIA;0;0;0;0;0;3479,76999999955;0;3479,76999999955
PR-CORBELIA;0;0;0;0;0;1004,08000000007;0;1004,08000000007
PR-CORNELIO PROCOPIO;0;0;0;0;0;9665,06999999844;0;9665,06999999844
PR-CORONEL DOMINGOS SOARES;0;0;0;0;0;28997,8000000026;0;28997,8000000026
PR-CORONEL VIVIDA;0;0;0;0;0;1397,24000000022;0;1397,24000000022
PR-CRUZEIRO DO SUL;0;0;0;0;0;1327,69999999925;0;1327,69999999925
PR-CRUZMALTINA;0;0;0;0;0;1032,01999999955;0;1032,01999999955
PR-DOURADINA;0;0;0;0;0;4453,35000000149;0;4453,35000000149
PR-ENGENHEIRO BELTRAO;0;0;0;0;0;11367,5299999975;0;11367,5299999975
PR-FAROL;0;0;0;0;0;11029,5800000001;0;11029,5800000001
PR-FAXINAL;0;0;0;0;0;19653,8600000003;0;19653,8600000003
PR-FIGUEIRA;0;0;0;0;0;1869,12999999989;0;1869,12999999989
PR-FLORIDA;0;0;0;0;0;3648,04999999888;0;3648,04999999888
PR-FRANCISCO BELTRAO;0;0;0;0;0;2485,83000000007;0;2485,83000000007
PR-FOZ DO JORDAO;0;0;0;0;0;9694,45000000298;0;9694,45000000298
PR-GENERAL CARNEIRO;0;0;0;0;0;2173,58000000101;0;2173,58000000101
PR-GOIOERE;0;0;0;0;0;68338,9599999972;0;68338,9599999972
PR-GUAIRA;0;0;0;0;0;8491,86999999918;0;8491,86999999918
PR-GUARACI;0;0;0;0;0;1270,66999999993;0;1270,66999999993
PR-GUARANIACU;0;0;0;0;0;3722,94000000134;0;3722,94000000134
PR-GUARAPUAVA;0;0;0;0;0;46272,3900000025;0;46272,3900000025
PR-IBIPORA;0;0;0;0;0;8353,12999999896;0;8353,12999999896
PR-IGUARACU;0;0;0;0;0;3312,46000000089;0;3312,46000000089
PR-IPIRANGA;0;0;0;0;0;1004,08000000007;0;1004,08000000007
