"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RR-ALTO ALEGRE";0;0;0;0;0;0;0;0;"RR";"ALTO ALEGRE";"ALTO ALEGRE (RR)";2015
"RR-BOA VISTA";0;0;0;0;0;800;0;800;"RR";"BOA VISTA";"BOA VISTA (RR)";2015
"RR-BONFIM";0;0;0;0;0;1970;0;1970;"RR";"BONFIM";"BONFIM (RR)";2015
"RR-CANTA";0;0;0;0;0;0;0;0;"RR";"CANTA";"CANTA (RR)";2015
"RR-CARACARAI";0;0;0;0;0;0;0;0;"RR";"CARACARAI";"CARACARAI (RR)";2015
"RR-CAROEBE";0;0;0;0;0;0;0;0;"RR";"CAROEBE";"CAROEBE (RR)";2015
"RR-IRACEMA";0;0;0;0;0;0;0;0;"RR";"IRACEMA";"IRACEMA (RR)";2015
"RR-MUCAJAI";0;0;0;0;0;0;0;0;"RR";"MUCAJAI";"MUCAJAI (RR)";2015
"RR-NORMANDIA";0;0;0;0;0;0;0;0;"RR";"NORMANDIA";"NORMANDIA (RR)";2015
"RR-PACARAIMA";0;0;0;0;0;0;0;0;"RR";"PACARAIMA";"PACARAIMA (RR)";2015
"RR-RORAINOPOLIS";0;0;0;0;0;0;0;0;"RR";"RORAINOPOLIS";"RORAINOPOLIS (RR)";2015
"RR-SAO JOAO DA BALIZA";0;0;0;0;0;0;0;0;"RR";"SAO JOAO DA BALIZA";"SAO JOAO DA BALIZA (RR)";2015
"RR-SAO LUIZ";0;0;0;0;0;0;0;0;"RR";"SAO LUIZ";"SAO LUIZ (RR)";2015
"RR-UIRAMUTA";0;0;0;0;0;0;0;0;"RR";"UIRAMUTA";"UIRAMUTA (RR)";2015
"PA-ABAETETUBA";0;0;0;896.900000000373;0;0;0;896.900000000373;"PA";"ABAETETUBA";"ABAETETUBA (PA)";2015
"PA-ABEL FIGUEIREDO";0;0;0;0;0;0;0;0;"PA";"ABEL FIGUEIREDO";"ABEL FIGUEIREDO (PA)";2015
"PA-ACARA";0;0;0;568664.679999988;0;0;0;568664.679999988;"PA";"ACARA";"ACARA (PA)";2015
"PA-AFUA";0;0;0;0;0;0;0;0;"PA";"AFUA";"AFUA (PA)";2015
"PA-AGUA AZUL DO NORTE";0;0;0;0;0;0;0;0;"PA";"AGUA AZUL DO NORTE";"AGUA AZUL DO NORTE (PA)";2015
"PA-ALENQUER";0;0;0;0;0;0;0;0;"PA";"ALENQUER";"ALENQUER (PA)";2015
"PA-ALMEIRIM";0;0;0;0;0;0;0;0;"PA";"ALMEIRIM";"ALMEIRIM (PA)";2015
"PA-ALTAMIRA";0;0;0;0;0;0;0;0;"PA";"ALTAMIRA";"ALTAMIRA (PA)";2015
