"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2003;"1501808";"BREVES (PA)";0;0;0;0
2003;"1501907";"BUJARU (PA)";140;0;0;0
2003;"1501956";"CACHOEIRA DO PIRIA (PA)";0;0;0;0
2003;"1502004";"CACHOEIRA DO ARARI (PA)";0;0;0;0
2003;"1502103";"CAMETA (PA)";0;0;0;0
2003;"1502152";"CANAA DOS CARAJAS (PA)";0;0;0;0
2003;"1502202";"CAPANEMA (PA)";0;0;0;0
2003;"1502301";"CAPITAO POCO (PA)";0;0;0;43
2003;"1502400";"CASTANHAL (PA)";2973;0;0;0
2003;"1502509";"CHAVES (PA)";0;0;0;0
2003;"1502608";"COLARES (PA)";0;0;0;0
2003;"1502707";"CONCEICAO DO ARAGUAIA (PA)";0;0;0;254
2003;"1502756";"CONCORDIA DO PARA (PA)";0;0;0;0
2003;"1502764";"CUMARU DO NORTE (PA)";0;0;0;0
2003;"1502772";"CURIONOPOLIS (PA)";0;0;0;0
2003;"1502806";"CURRALINHO (PA)";0;0;0;0
2003;"1502855";"CURUA (PA)";0;0;0;768
2003;"1502905";"CURUCA (PA)";0;0;0;0
2003;"1502939";"DOM ELISEU (PA)";0;0;0;2145
2003;"1502954";"ELDORADO DO CARAJAS (PA)";0;0;0;0
2003;"1503002";"FARO (PA)";0;0;0;0
2003;"1503044";"FLORESTA DO ARAGUAIA (PA)";0;0;0;960
2003;"1503077";"GARRAFAO DO NORTE (PA)";0;0;0;0
2003;"1503093";"GOIANESIA DO PARA (PA)";0;0;0;0
2003;"1503101";"GURUPA (PA)";0;0;0;0
2003;"1503200";"IGARAPE ACU (PA)";2627;0;0;0
2003;"1503309";"IGARAPE MIRI (PA)";0;0;0;0
2003;"1503408";"INHANGAPI (PA)";17;0;0;0
2003;"1503457";"IPIXUNA DO PARA (PA)";0;0;0;0
2003;"1503507";"IRITUIA (PA)";0;0;0;0
2003;"1503606";"ITAITUBA (PA)";0;0;0;0
2003;"1503705";"ITUPIRANGA (PA)";0;0;0;0
2003;"1503754";"JACAREACANGA (PA)";0;0;0;0
2003;"1503804";"JACUNDA (PA)";0;0;0;0
2003;"1503903";"JURUTI (PA)";0;0;0;0
