"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1400506";"SAO JOAO DA BALIZA (RR)";0;0;0;0
2006;"1400605";"SAO LUIZ (RR)";0;0;0;0
2006;"1400704";"UIRAMUTA (RR)";0;0;0;0
2006;"1500107";"ABAETETUBA (PA)";0;0;0;0
2006;"1500131";"ABEL FIGUEIREDO (PA)";0;0;0;0
2006;"1500206";"ACARA (PA)";182000;0;0;0
2006;"1500305";"AFUA (PA)";0;0;0;0
2006;"1500347";"AGUA AZUL DO NORTE (PA)";0;0;0;0
2006;"1500404";"ALENQUER (PA)";0;0;0;1620
2006;"1500503";"ALMEIRIM (PA)";0;0;0;0
2006;"1500602";"ALTAMIRA (PA)";0;0;0;400
2006;"1500701";"ANAJAS (PA)";0;0;0;0
2006;"1500800";"ANANINDEUA (PA)";0;0;0;0
2006;"1500859";"ANAPU (PA)";0;0;0;0
2006;"1500909";"AUGUSTO CORREA (PA)";0;0;0;0
2006;"1500958";"AURORA DO PARA (PA)";0;0;0;0
2006;"1501006";"AVEIRO (PA)";0;0;0;0
2006;"1501105";"BAGRE (PA)";0;0;0;0
2006;"1501204";"BAIAO (PA)";0;0;0;0
2006;"1501253";"BANNACH (PA)";0;0;0;0
2006;"1501303";"BARCARENA (PA)";0;0;0;0
2006;"1501402";"BELEM (PA)";0;0;0;0
2006;"1501451";"BELTERRA (PA)";0;0;0;19200
2006;"1501501";"BENEVIDES (PA)";0;0;0;0
2006;"1501576";"BOM JESUS DO TOCANTINS (PA)";0;0;0;0
2006;"1501600";"BONITO (PA)";24000;0;0;0
2006;"1501709";"BRAGANCA (PA)";0;0;0;0
2006;"1501725";"BRASIL NOVO (PA)";0;0;0;0
2006;"1501758";"BREJO GRANDE DO ARAGUAIA (PA)";0;0;0;0
2006;"1501782";"BREU BRANCO (PA)";0;0;0;0
2006;"1501808";"BREVES (PA)";0;0;0;0
2006;"1501907";"BUJARU (PA)";2800;0;0;0
2006;"1501956";"CACHOEIRA DO PIRIA (PA)";0;0;0;0
2006;"1502004";"CACHOEIRA DO ARARI (PA)";0;0;0;0
2006;"1502103";"CAMETA (PA)";0;0;0;0
2006;"1502152";"CANAA DOS CARAJAS (PA)";0;0;0;0
2006;"1502202";"CAPANEMA (PA)";0;0;0;1476
2006;"1502301";"CAPITAO POCO (PA)";0;0;0;2800
2006;"1502400";"CASTANHAL (PA)";27027;0;0;0
2006;"1502509";"CHAVES (PA)";0;0;0;0
2006;"1502608";"COLARES (PA)";0;0;0;0
2006;"1502707";"CONCEICAO DO ARAGUAIA (PA)";0;0;0;1800
2006;"1502756";"CONCORDIA DO PARA (PA)";8750;0;0;0
2006;"1502764";"CUMARU DO NORTE (PA)";0;0;0;0
2006;"1502772";"CURIONOPOLIS (PA)";0;0;0;0
2006;"1502806";"CURRALINHO (PA)";0;0;0;0
2006;"1502855";"CURUA (PA)";0;0;0;0
2006;"1502905";"CURUCA (PA)";0;0;0;0
2006;"1502939";"DOM ELISEU (PA)";0;0;0;16500
2006;"1502954";"ELDORADO DO CARAJAS (PA)";0;0;0;0
2006;"1503002";"FARO (PA)";0;0;0;0
2006;"1503044";"FLORESTA DO ARAGUAIA (PA)";0;0;0;5100
2006;"1503077";"GARRAFAO DO NORTE (PA)";0;0;0;0
2006;"1503093";"GOIANESIA DO PARA (PA)";0;0;0;0
2006;"1503101";"GURUPA (PA)";0;0;0;0
2006;"1503200";"IGARAPE ACU (PA)";42500;0;0;0
2006;"1503309";"IGARAPE MIRI (PA)";0;0;0;0
