"ano";"cod_mun";"amc";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta"
2012;"3204708";"11722";32;"ES";"0";"SAO GABRIEL DA PALHA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777;1738;72516486.3365663;29248.2674167389;48877.2626221428;139187.696721714;80820.5979772275;298133.825470558;36207.1842552812;334341.009725839;10238.5874949049
2012;"3204807";"11766";32;"ES";"0";"SAO JOSE DO CALCADO (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;389;4561044.94050988;10056.3974508;59470.3910460087;25525.5700770188;29361.5745532883;124413.933127116;4153.95264287719;128567.885769993;12365.8623780525
2012;"3204906";"11752";32;"ES";"0";"SAO MATEUS (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1539;2498;69319832.6264827;90202.097101329;235542.394198997;502935.054744206;317354.617933806;1146034.16397834;110576.794770921;1256610.95874926;11236.5939047607
2012;"3204955";"11765";32;"ES";"0";"SAO ROQUE DO CANAA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;831;12925321.8456198;24953.9477511746;17772.4107754482;38091.4792396358;30285.8261037088;111103.663869967;10561.1511563076;121664.815026275;10666.7389345993
2012;"3205002";"11767";32;"ES";"0";"SERRA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11340;41;2935871.71084475;10414.5822685713;2933620.15539276;3799134.5929847;1097194.88777962;7840364.21989112;3130629.62271167;10970993.8426028;25962.6088538094
2012;"3205010";"11722";32;"ES";"0";"SOORETAMA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388;877;26346234.3169932;48839.7707945229;39369.8936280006;76236.9382992519;66463.4694337389;230910.07142278;29467.1139711012;260377.185393881;10547.9919769102
2012;"3205036";"11733";32;"ES";"0";"VARGEM ALTA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540;768;19246237.365848;26879.6466327968;53616.5998107785;60692.0741962388;54219.8872592719;195408.207166351;24978.9574461015;220387.164612453;11363.0931937614
2012;"3205069";"11738";32;"ES";"0";"VENDA NOVA DO IMIGRANTE (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;931;487;35020131.3625349;31658.0070642169;39666.7617549578;130033.514563125;55841.381143103;257199.664525402;33382.0163704617;290581.680895864;13775.5630100926
2012;"3205101";"11768";32;"ES";"0";"VIANA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1584;136;7717235.2400753;11566.1947485752;260275.345552703;334279.833720055;172331.762683187;778453.136704519;186043.420251376;964496.556223161;14450.4701296054
2012;"3205150";"11759";32;"ES";"0";"VILA PAVAO (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;515;11404704.0592238;29209.9292807386;27386.1427810132;24575.9256115132;25079.8835673228;106251.881240588;4211.21950995228;110463.10075054;12661.9750557108
2012;"3205176";"11722";32;"ES";"0";"VILA VALERIO (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;1869;43605265.0425493;56180.7815785016;8942.44386188843;49221.1957533347;38386.8496572168;152731.270850942;11013.8836412297;163745.154492171;11844.9907111214
2012;"3205200";"11769";32;"ES";"0";"VILA VELHA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5790;10;443438.692655569;8263.73751384533;1350171.41633344;3148068.812202;1023768.38134109;5530272.34739037;1638861.50933818;7169133.85672855;16870.6116764501
2012;"3205309";"11770";32;"ES";"0";"VITORIA (ES)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5751;151;4764130.08207027;6379.46377879206;3937389.75092847;6927724.26518339;1143399.20664977;12014892.6865404;5806764.96407538;17821657.6506158;53492.4709179776
2012;"3300100";"12001";33;"RJ";"0";"ANGRA DOS REIS (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1585;2;26380.4214093067;17680.3111743572;1761034.5504989;1980918.28032799;823035.728681259;4582668.8706825;342917.016713696;4925585.8873962;27812.3019155246
2012;"3300159";"12002";33;"RJ";"0";"APERIBE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;54;639043.816364579;4712.33005938419;9880.80568112422;24016.9751966049;41205.7299470473;79815.8408841606;3615.04178458891;83430.8826687495;7911.89158248008
2012;"3300209";"12003";33;"RJ";"0";"ARARUAMA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2169;19;2361665.6897796;16474.5444835552;147981.90399208;631704.718750455;414356.515639875;1210517.68286596;119761.47553879;1330279.15840475;11426.7458422524
2012;"3300225";"12004";33;"RJ";"0";"AREAL (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;7;31978.4619156466;1125.65169565907;26536.3524461137;156271.958399251;50690.2896480517;234624.252189075;26459.4402335949;261083.69242267;22402.9258955834
2012;"3300308";"12006";33;"RJ";"0";"BARRA DO PIRAI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1890;46;1858470.12959215;10427.5567988675;259519.716733857;512254.882533982;327821.294696416;1110023.45076312;110061.049314751;1220084.50007787;12745.5947201035
2012;"3300407";"12007";33;"RJ";"0";"BARRA MANSA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2855;66;5990800.32608413;31529.1447063619;797137.673006676;1176367.03383698;624456.938909679;2629490.79119243;345851.691041066;2975342.4822335;16633.1763798343
2012;"3300506";"12009";33;"RJ";"0";"BOM JARDIM (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;661;204;3467866.26593647;34117.0157813915;105466.106990505;107469.368752908;96534.5090651078;343587.000589912;37744.8569727243;381331.857562637;14815.9068210054
2012;"3300605";"12010";33;"RJ";"0";"BOM JESUS DO ITABAPOANA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;288;6839720.93440768;22401.3256033732;33787.0852070392;155825.468079777;131255.583864451;343269.46275464;25827.0419750186;369096.503996925;10345.5007899586
2012;"3300704";"12005";33;"RJ";"0";"CABO FRIO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4061;14;121095.379180264;17172.3766682613;7745011.38667098;3413420.69058054;854817.401550054;12030421.8554698;253621.359119134;12284043.214589;62931.5131500714
2012;"3300803";"12011";33;"RJ";"0";"CACHOEIRAS DE MACACU (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998;75;1236553.80697502;18738.730080619;137686.928178799;256321.24551974;218088.587387559;630835.490433983;115227.362636897;746062.853803615;13530.5805478332
2012;"3300902";"12012";33;"RJ";"0";"CAMBUCI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;467;5553539.78718846;34034.8476640998;14568.9181316069;45021.3812563186;60192.0642140687;153817.210533359;9939.78934519959;163757.000611293;11026.6654623449
2012;"3300936";"12013";33;"RJ";"0";"CARAPEBUS (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;4;46875.4604669213;5286.26196446224;400662.248792985;165535.46088582;73726.4652397335;645210.436150267;12348.7471649357;657559.184047937;46888.1367742644
2012;"3300951";"12004";33;"RJ";"0";"COMENDADOR LEVY GASPARIAN (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;13;392974.745436106;2590.31034827498;24722.0775733027;64116.5082824593;34131.1223865342;125560.017857837;17594.1701704519;143154.188028289;17417.4734371072
2012;"3301009";"12014";33;"RJ";"0";"CAMPOS DOS GOYTACAZES (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8651;304;8627803.06843143;128393.191600115;29592768.1138383;11185587.2415926;1926727.37271932;42833475.9204831;786900.397106577;43620376.3168569;92357.3477887748
