"ano";"cod_mun";"amc";"regiao";"polos";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2016;"2101103";"3017";"Nordeste";0;21;"MA";0;"AXIXA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;302;977087.439500023;11189.4365997463;2496.95256192848;15260.630075316;32194.3318654575;61141.3511024482;1972.14754295381;63113.498645402;5296.98086161365;"11915"
2016;"2101202";"3007";"Nordeste";0;21;"MA";0;"BACABAL (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127;248;1123961.16779681;54925.0077089798;69532.5304576477;544530.293241182;243287.866846464;912275.698254274;101192.016238353;1013467.71449263;9837.57845345614;"103020"
2016;"2101251";"3018";"Nordeste";0;21;"MA";0;"BACABEIRA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;92;208253.82265871;11539.8012152249;162283.048908548;60587.3752883229;53934.4169839011;288344.641498351;21164.1780224426;309508.820418439;18409.9969813449;"16812"
2016;"2101301";"3013";"Nordeste";0;21;"MA";0;"BACURI (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;73;561060.241137353;8517.1935637611;3324.13225729994;20690.311708961;46718.5880932475;79250.2256232696;2276.28968390583;81526.5153071754;4688.66426446126;"17388"
2016;"2101350";"3019";"Nordeste";0;21;"MA";0;"BACURITUBA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;59;267882.816548095;3640.82438400451;1442.23222651191;7208.67375608289;16999.6625978854;29291.3929644848;1027.26673665711;30318.6597011419;5468.73640655984;"5544"
2016;"2101400";"3020";"Nordeste";0;21;"MA";0;"BALSAS (MA)";0;0;0;234491;0;0;0;180116;0;0;0;211626.277881679;0;0;0;0;2047;612;2584316.45881415;351817.321436154;145230.585887806;1150714.78685955;249044.244869113;1896806.93815497;246114.412500352;2142921.35065533;22916.2506453644;"93511"
2016;"2101509";"3021";"Nordeste";0;21;"MA";0;"BARAO DE GRAJAU (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;726;1845879.45323415;9345.93157221935;32825.9648119355;96191.7261600113;46215.7709078333;184579.394349645;22745.5659918425;207324.961239134;11209.1812164842;"18496"
2016;"2101608";"3015";"Nordeste";0;21;"MA";0;"BARRA DO CORDA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;5.328;5583987.71646107;39167.4499022602;29192.9167333866;233186.968489526;207550.076440261;509097.411565434;31891.9724490391;540989.384014473;6242.52502814717;"86662"
2016;"2101707";"3022";"Nordeste";0;21;"MA";0;"BARREIRINHAS (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;436;1745871.98204614;53962.9899469574;19907.270154598;150247.855833861;150668.593186128;374786.709121545;21910.1584751844;396696.867596729;6437.69117522673;"61621"
2016;"2101731";"3023";"Nordeste";0;21;"MA";0;"BELAGUA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;58;195327.714344815;4848.41020641887;1727.82810785207;7553.14622461351;22719.4848934918;36848.8685347305;1001.19192182698;37850.0604565575;5149.66821145623;"7350"
2016;"2101772";"3024";"Nordeste";0;21;"MA";0;"BELA VISTA DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;139;495668.038140877;6792.76843108876;4588.2760478361;19673.4935692684;34168.2666211738;65222.804669367;2651.4023937409;67874.2070631079;6159.1875932522;"11020"
2016;"2101806";"3025";"Nordeste";0;21;"MA";0;"BENEDITO LEITE (MA)";0;0;0;2527;0;0;0;1620;0;0;0;2729.74083924628;0;0;0;0;15;352;842060.265811005;5688.27632970255;1671.38952661999;8622.50985575866;14615.6760653541;30597.8508797895;1512.0313676425;32109.882247432;5812.7950603825;"5524"
2016;"2101905";"3026";"Nordeste";0;21;"MA";0;"BEQUIMAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;547;1364331.83215074;13972.8494759081;3821.00882289366;29620.6790615855;48932.8046733142;96347.3411360556;3863.48003567502;100210.821171731;4802.36007988346;"20867"
2016;"2101939";"3027";"Nordeste";0;21;"MA";0;"BERNARDO DO MEARIM (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;477;1501820.89815253;13758.7044039472;2657.03512105634;10428.3469731122;16472.1852874019;43316.2717855176;1404.21602977304;44720.4878152906;7531.23917917391;"5938"
2016;"2101970";"3001";"Nordeste";0;21;"MA";0;"BOA VISTA DO GURUPI (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;16157.6241717964;4362.08546705512;2003.58309842583;19036.9720438325;21625.0948977962;47027.7364047554;3409.80177595038;50437.53728306;5503.8792391335;"9164"
2016;"2102002";"3028";"Nordeste";0;21;"MA";0;"BOM JARDIM (MA)";0;0;0;17510;0;0;0;5150;0;0;0;14654.067478032;0;0;0;0;147;604;4845441.36864771;65752.6374023965;10376.4388101687;63076.0084690945;100560.765688981;239765.85037064;10664.0077169494;250429.857189944;6123.28176175932;"40898"
2016;"2102036";"3008";"Nordeste";0;21;"MA";0;"BOM JESUS DAS SELVAS (MA)";0;0;0;4000;0;0;0;1150;0;0;0;3303.33649734505;0;0;0;0;157;525;2299462.55352888;62037.0884948264;9178.87161238664;57847.5125951788;85069.8032952211;214133.275997613;13626.5278570556;227759.803854669;6775.53812020112;"33615"
2016;"2102077";"3007";"Nordeste";0;21;"MA";0;"BOM LUGAR (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;284;1294355.29825967;17097.9036457873;2737.71642206663;17125.7351534232;38515.6055632348;75476.960784512;2726.14756315963;78203.1092453174;4875.20403552465;"16041"
2016;"2102101";"3029";"Nordeste";0;21;"MA";0;"BREJO (MA)";0;0;0;63000;0;0;0;25500;0;0;0;66807.2877214417;0;0;0;0;114;838;1729984.80957361;26226.6175045158;10182.0643866736;73315.1613325502;82521.7244198299;192245.567643569;11127.4765992764;203373.044242846;5680.96680005639;"35799"
2016;"2102150";"3008";"Nordeste";0;21;"MA";0;"BREJO DE AREIA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;322;2311218.50874733;13304.939970227;2098.81074941967;11677.8959407923;27621.6703660918;54703.3170265307;1372.41962069452;56075.7366472252;5369.17851228796;"10444"
2016;"2102200";"3030";"Nordeste";0;21;"MA";0;"BURITI (MA)";0;0;0;36450;0;0;0;13500;0;0;0;35616.7895493633;0;0;0;0;59;601;2387773.13459123;18930.64679797;6376.3137468728;42159.3643513181;74289.814356675;141756.139252836;5624.28944504488;147380.427800235;5231.82075391194;"28170"
2016;"2102309";"3031";"Nordeste";0;21;"MA";0;"BURITI BRAVO (MA)";0;0;0;1800;0;0;0;1000;0;0;0;1615.76241717964;0;0;0;0;57;255;737404.58725417;16296.2341460458;15696.7602575443;39842.1788229876;59730.9511908463;131566.124417424;5426.33790308726;136992.462320511;5845.13723809971;"23437"
2016;"2102325";"3008";"Nordeste";0;21;"MA";0;"BURITICUPU (MA)";0;0;0;35700;0;0;0;10210;0;0;0;29206.7009820967;0;0;0;0;570;580;3210907.93032752;57627.513077393;22462.3623365255;153541.275140548;179997.351554156;413628.502108623;27353.2742756825;440981.776384305;6191.21559494385;"71227"
2016;"2102358";"3032";"Nordeste";0;21;"MA";0;"BURITIRANA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;556;1900497.12408082;17618.0947654152;3026.67129394295;17694.7941097129;41849.7160511066;80189.2762201776;2276.57244232884;82465.8486625065;5446.16959146657;"15142"
2016;"2102374";"3033";"Nordeste";0;21;"MA";0;"CACHOEIRA GRANDE (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;18;74299.9371082186;10843.6383083878;2264.74236849772;9723.92482738593;26789.3821685447;49621.6876728161;1002.85795240825;50624.5456252244;5702.24998167379;"8878"
2016;"2102408";"3019";"Nordeste";0;21;"MA";0;"CAJAPIO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;11;38149.945961186;6772.25722484846;2602.17639640994;9110.2438990085;26288.9293821343;44773.6069024012;1033.22441174757;45806.8313141488;4173.73873502185;"10975"
2016;"2102507";"3034";"Nordeste";0;21;"MA";0;"CAJARI (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;254;957069.938442742;18371.8021530943;2741.04489264602;15571.8447674263;49562.573209492;86247.2650226587;2060.42741555378;88307.6924382125;4640.44273276632;"19030"
2016;"2102556";"3035";"Nordeste";0;21;"MA";0;"CAMPESTRE DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;59;257953.211448522;45572.2019653212;10165.665295785;32960.6089870965;38186.3975613176;126884.87380952;6733.41429633946;133618.28810586;9458.35901414407;"14127"
2016;"2102606";"3036";"Nordeste";0;21;"MA";0;"CANDIDO MENDES (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;60;186647.488557869;15999.1896903341;4653.025931413;29783.0784444904;58429.180781843;108864.47484808;4025.32287819181;112889.797726272;5693.74029960998;"19827"
2016;"2102705";"3007";"Nordeste";0;21;"MA";0;"CANTANHEDE (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;206;668351.34489056;9469.3174739157;7253.53360430431;31142.903197143;57022.5931718998;104888.347447263;4405.8645497486;109294.211997011;5055.93603834406;"21617"
2016;"2102754";"3007";"Nordeste";0;21;"MA";0;"CAPINZAL DO NORTE (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;164;490228.798374888;17804.5546460035;19534.9491231615;26589.3821989004;30780.7156889996;94709.601657065;5567.65427938537;100277.25593645;9357.71496846953;"10716"
2016;"2102804";"3037";"Nordeste";0;21;"MA";0;"CAROLINA (MA)";0;0;0;48776;0;0;0;38106;0;0;0;46476.5082843851;0;0;0;0;106;157;2362524.10002669;40070.8603708284;10772.4828244725;84581.3376706546;69086.3206108735;204511.001476829;13480.3148229876;217991.316299817;9146.61560866501;"23833"
2016;"2102903";"3001";"Nordeste";0;21;"MA";0;"CARUTAPERA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;27;350934.620553545;23486.2575156055;6405.9522154786;46957.5467877073;65911.1490813966;142760.905600188;6839.68568345473;149600.591283643;6392.09076923077;"23404"
2016;"2103000";"3038";"Nordeste";0;21;"MA";0;"CAXIAS (MA)";0;0;0;4140;0;0;0;2300;0;0;0;3973.8779004746;0;0;0;0;1164;35.401;5348645.43939627;34451.7198220196;154631.040465147;711283.924267807;456064.715680729;1356431.39933806;142110.408627489;1498541.80886319;9254.48570292749;"161926"
2016;"2103109";"3039";"Nordeste";0;21;"MA";0;"CEDRAL (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;439;1509329.2742935;12177.1710159297;1753.06900974578;10669.5282385414;25506.0126005357;50105.7808647526;1344.74071284244;51450.521577595;4912.68074714534;"10473"
2016;"2103125";"3040";"Nordeste";0;21;"MA";0;"CENTRAL DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;33;67592.7277853484;4664.40448941309;1563.98800345848;8107.90029763639;23818.5354661153;38154.8273589775;1005.38482529956;39160.2121842771;4588.7293589587;"8534"
2016;"2103158";"3001";"Nordeste";0;21;"MA";0;"CENTRO DO GUILHERME (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;233;1179777.58175725;13660.1877787886;1996.20355240825;14553.767230694;30315.7558170199;60525.9143789108;2316.14515686293;62842.0595357737;4726.74239875946;"13295"
2016;"2103174";"3001";"Nordeste";0;21;"MA";0;"CENTRO NOVO DO MARANHAO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;4.059;4623504.15675955;29486.8149406137;4191.29130074715;32199.0857975471;55774.5737926413;121651.766729195;5320.04138188995;126971.808111085;5961.12205027959;"21300"
2016;"2103208";"3041";"Nordeste";0;21;"MA";0;"CHAPADINHA (MA)";0;0;0;9546;0;0;0;3700;0;0;0;9651.48750528641;0;0;0;0;440;485;1807142.59952784;30312.8833505005;33274.2509134157;276677.644772708;206972.541912448;547237.321846718;42114.2208470279;589351.542693746;7522.2268154692;"78348"
2016;"2103257";"3001";"Nordeste";0;21;"MA";0;"CIDELANDIA (MA)";0;0;0;148;0;0;0;82;0;0;0;172.347991165829;0;0;0;0;87;531;2289145.02182585;32608.7821066303;5763.31323400216;32782.4191171468;41833.0135559419;112987.528013721;7300.92660893755;120288.454622659;8326.76878173018;"14446"
2016;"2103307";"3007";"Nordeste";0;21;"MA";0;"CODO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;99.538;6182225.4838782;41245.4621987877;103952.030181777;371503.224958432;324396.379928086;841097.097267083;79535.2111054744;920632.308372558;7637.0626410413;"120548"
2016;"2103406";"3042";"Nordeste";0;21;"MA";0;"COELHO NETO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;212;742304.916395282;37108.5942644801;21010.3403850571;122236.695165359;137901.366381298;318256.99709384;19860.0288521028;338117.025945942;6964.87854612095;"48546"
2016;"2103505";"3043";"Nordeste";0;21;"MA";0;"COLINAS (MA)";0;0;0;3795;0;0;0;2300;0;0;0;3248.58010431841;0;0;0;0;209;488;1643690.32299666;30359.9558955876;19006.2528096988;104016.616693821;101243.894778986;254626.720178093;14792.3085198628;269419.028697956;6664.33776006767;"40427"
2016;"2103554";"3024";"Nordeste";0;21;"MA";0;"CONCEICAO DO LAGO ACU (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;61;361089.427028241;24653.2921895776;6679.01965456511;17958.6166948358;45615.3697512335;94906.2982902119;2069.14086321132;96975.4391534232;6062.86122381467;"15995"
2016;"2103604";"3007";"Nordeste";0;21;"MA";0;"COROATA (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275;842;3586904.7135456;21402.8431867299;24167.460257751;135910.890706659;159428.187018298;340909.380271792;19978.3215116019;360887.702681039;5628.05058089376;"64123"
2016;"2103703";"3044";"Nordeste";0;21;"MA";0;"CURURUPU (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;170;1375878.61794784;32863.484610554;6694.08304852216;54727.1181045816;80474.9385273061;174759.624290964;6872.11493281331;181631.739223777;5896.17737756684;"30805"
2016;"2103752";"3001";"Nordeste";0;21;"MA";0;"DAVINOPOLIS (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;144;401980.442118509;7517.41992227809;19463.1625942578;433652.114338424;38393.3219705653;499026.017927879;145168.848503491;644194.866431371;50900.3490886706;"12656"
2016;"2103802";"3045";"Nordeste";0;21;"MA";0;"DOM PEDRO (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504;232;970182.424951459;7570.17097461586;14668.7511678211;95775.564108322;57739.5114446314;175753.99769539;14883.0003666933;190636.998062084;8325.85318302711;"22897"
2016;"2103901";"3046";"Nordeste";0;21;"MA";0;"DUQUE BACELAR (MA)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;174;578539.603848691;5593.96158447441;3111.76631928951;14816.141913162;32566.3880913867;56088.2579083126;1890.62065961186;57978.8776702786;5200.83402133358;"11148"
