"ano";"chave";"Estado";"Mun";"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"Total"
2016;"NOVA BRESCIA (RS)";"RS";"NOVA BRESCIA";"RS-NOVA BRESCIA";0;0;0;0;0;0;0;0;0
2016;"NOVA CANDELARIA (RS)";"RS";"NOVA CANDELARIA";"RS-NOVA CANDELARIA";0;0;0;0;0;0;0;0;0
2016;"NOVA ESPERANCA DO SUL (RS)";"RS";"NOVA ESPERANCA DO SUL";"RS-NOVA ESPERANCA DO SUL";0;0;0;0;0;0;0;0;0
2016;"NOVA HARTZ (RS)";"RS";"NOVA HARTZ";"RS-NOVA HARTZ";0;0;0;0;0;0;0;0;0
2016;"NOVA PADUA (RS)";"RS";"NOVA PADUA";"RS-NOVA PADUA";0;0;0;0;0;0;0;0;0
2016;"NOVA PALMA (RS)";"RS";"NOVA PALMA";"RS-NOVA PALMA";0;0;0;0;0;0;0;0;0
2016;"NOVA PETROPOLIS (RS)";"RS";"NOVA PETROPOLIS";"RS-NOVA PETROPOLIS";0;0;0;0;0;0;0;0;0
2016;"NOVA PRATA (RS)";"RS";"NOVA PRATA";"RS-NOVA PRATA";0;0;0;0;0;0;0;0;0
2016;"NOVA RAMADA (RS)";"RS";"NOVA RAMADA";"RS-NOVA RAMADA";0;0;0;0;0;0;1600.56000000052;4664.69999999925;6265.25999999978
2016;"NOVA ROMA DO SUL (RS)";"RS";"NOVA ROMA DO SUL";"RS-NOVA ROMA DO SUL";0;0;0;0;0;0;0;0;0
2016;"NOVA SANTA RITA (RS)";"RS";"NOVA SANTA RITA";"RS-NOVA SANTA RITA";0;0;0;0;0;0;0;0;0
2016;"NOVO CABRAIS (RS)";"RS";"NOVO CABRAIS";"RS-NOVO CABRAIS";0;0;0;0;0;0;0;0;0
2016;"NOVO HAMBURGO (RS)";"RS";"NOVO HAMBURGO";"RS-NOVO HAMBURGO";0;0;0;0;0;0;0;0;0
2016;"NOVO MACHADO (RS)";"RS";"NOVO MACHADO";"RS-NOVO MACHADO";0;0;0;0;0;0;0;0;0
2016;"NOVO TIRADENTES (RS)";"RS";"NOVO TIRADENTES";"RS-NOVO TIRADENTES";0;0;0;0;0;0;0;0;0
2016;"NOVO XINGU (RS)";"RS";"NOVO XINGU";"RS-NOVO XINGU";0;0;0;0;0;0;0;0;0
2016;"NOVO BARREIRO (RS)";"RS";"NOVO BARREIRO";"RS-NOVO BARREIRO";0;0;0;0;0;0;0;1118.1799999997;1118.1799999997
2016;"OSORIO (RS)";"RS";"OSORIO";"RS-OSORIO";0;0;0;0;0;0;0;0;0
