"cod_mun";"amc";"chave";"estado";"municipio";"polo"
5208004;16113;"FORMOSA (GO)";"GO";"Formosa";"Nordeste Goiano, DF e Entorno"
5208103;16114;"FORMOSO (GO)";"GO";"Formoso";"Norte"
5208152;16115;"GAMELEIRA DE GOIAS (GO)";"GO";"Gameleira de Goias";"Estrada de Ferro"
5209952;16130;"INDIARA (GO)";"GO";"Indiara";"Morrinhos - GO"
5210109;16132;"IPAMERI (GO)";"GO";"Ipameri";"Estrada de Ferro"
5211503;16079;"ITUMBIARA (GO)";"GO";"Itumbiara";"Morrinhos - GO"
5211701;16130;"JANDAIA (GO)";"GO";"Jandaia";"Sudoeste"
5212105;16146;"JOVIANIA (GO)";"GO";"Joviania";"Morrinhos - GO"
5211909;16056;"JATAI (GO)";"GO";"Jatai";"Sudoeste"
5212808;16048;"MARA ROSA (GO)";"GO";"Mara Rosa";"Norte"
5213087;16152;"MINACU (GO)";"GO";"Minacu";"Norte"
5213103;16057;"MINEIROS (GO)";"GO";"Mineiros";"Sudoeste"
5213707;16155;"MONTES CLAROS DE GOIAS (GO)";"GO";"Montes Claros de Goias";"Médio Araguaia do Goias"
5213772;16114;"MONTIVIDIU DO NORTE (GO)";"GO";"Montividiu do Norte";"Norte"
5213806;16156;"MORRINHOS (GO)";"GO";"Morrinhos";"Morrinhos - GO"
5214051;16101;"MUNDO NOVO (GO)";"GO";"Mundo Novo";"Norte"
5214101;16159;"MUTUNOPOLIS (GO)";"GO";"Mutunopolis";"Norte"
5214838;16101;"NOVA CRIXAS (GO)";"GO";"Nova Crixas";"Norte"
5215256;16167;"NOVO PLANALTO (GO)";"GO";"Novo Planalto";"Norte"
5215306;16168;"ORIZONA (GO)";"GO";"Orizona";"Estrada de Ferro"
5215603;16171;"PADRE BERNARDO (GO)";"GO";"Padre Bernardo";"Nordeste Goiano, DF e Entorno"
5215702;16095;"PALMEIRAS DE GOIAS (GO)";"GO";"Palmeiras de Goias";"Sudoeste"
5215900;16173;"PALMINOPOLIS (GO)";"GO";"Palminopolis";"Sudoeste"
5216007;16174;"PANAMA (GO)";"GO";"Panama";"Morrinhos - GO"
5216403;16176;"PARAUNA (GO)";"GO";"Parauna";"Sudoeste"
5216452;16056;"PEROLANDIA (GO)";"GO";"Perolandia";"Sudoeste"
5217104;16178;"PIRACANJUBA (GO)";"GO";"Piracanjuba";"Estrada de Ferro"
